85,Oliver Hardy,Noci,0,0,1,0,0,0,0,0,0,0,0
86,Orto Botanico - Maze,Bari,0,1,1,0,0,0,0,0,0,0,0
87,Osteria Delle Travi,Bari,0,0,1,0,0,0,0,0,0,0,0
88,Al Buco,Bari,0,0,1,0,0,0,0,0,0,0,0
90,Kaja,Alliste,0,0,1,0,0,0,0,0,0,0,0
91,Al Verde,Fasano,0,0,1,0,0,0,0,0,0,0,0
93,Al Faro,Taranto,0,0,1,0,0,0,0,1,0,0,0
94,Corte Ludovico,Lecce,0,0,1,0,0,0,0,0,0,0,0
95,La Sciabica,Brindisi,0,0,1,0,0,0,0,1,0,0,0
96,Trattoria del Porto (nuova gestione),Monopoli,0,0,1,0,0,0,0,0,0,0,0
98,La Loggia,Carovigno,0,1,0,0,0,0,0,0,0,0,0
99,Jah Jazz,Putignano,0,1,0,0,0,0,0,0,0,0,0
100,La Locanda dei Camini,Botrugno,0,0,1,0,0,0,0,0,0,0,0
101,Cotriero,Gallipoli,0,1,0,0,0,0,0,0,0,1,0
102,Guido e figli,Lecce,0,0,1,0,0,0,0,0,0,0,0
103,Lisi Giuseppina,Martina Franca,0,0,1,0,0,0,0,1,0,0,0
104,Trattoria del Pescatore,Taranto,0,0,1,0,0,0,0,0,0,0,0
105,Joyce,Lecce,0,1,0,0,0,0,0,0,0,0,0
106,Medievalis,Ascoli Satriano,0,0,1,0,0,0,0,0,0,0,0
107,Masseria Palagogna,Ceglie Messapica,0,0,1,0,0,0,0,0,0,0,0
108,BarbaBlù,Taranto,0,1,0,0,0,0,0,0,0,0,0
109,Douglas Hide,Lecce,0,1,0,0,0,0,0,0,0,0,0
110,La Fontanina,Lecce,0,0,1,0,0,0,0,0,0,0,0
111,La Havana,Polignano a Mare,0,1,0,0,0,0,0,1,0,0,0
112,Barcollando,Monopoli,0,0,0,0,0,0,0,0,0,1,0
113,la Lupa,Terlizzi,0,0,1,0,0,0,0,0,0,0,0
114,il Vecchio Granaio,Martina Franca,0,0,1,0,0,0,0,0,0,0,0
115,La Colonna,Polignano a Mare,0,0,1,0,0,0,0,0,0,0,0
116,Fico d'India,Nardò,0,1,0,0,0,0,0,0,0,0,0
117,Mediterraneo Cafè,Conversano,0,1,0,0,0,0,0,0,0,0,0
118,Matisse,Bari,0,1,0,0,0,0,0,0,0,0,0
119,Il Camino Bistrot,Grottaglie,0,1,1,0,0,0,0,0,0,0,0
120,Santa Sofia,Grottaglie,0,1,1,0,0,0,0,1,0,0,0
121,Abitué,Putignano,0,0,1,0,0,0,0,0,0,0,0
122,Bobos,Putignano,0,1,0,0,0,0,0,0,0,0,0
123,Da Pino,Martina Franca,0,0,1,0,0,0,0,0,0,0,0
124,Oste Pazzo,Casarano,0,0,1,0,0,0,0,0,0,0,0
125,L'Avamposto,Castro,0,1,0,0,0,0,0,0,0,0,0
126,Palazzo Palatrasio,Ginosa,0,0,1,0,0,0,0,1,0,0,0
127,Taverna Caprese Accademia della Bufala,Bari,0,0,1,0,0,0,0,0,0,0,0
128,La Vecchia Osteria,Lecce,0,0,1,0,0,0,0,0,0,0,0
129,Masseria Melcarne,Surbo,0,0,1,0,0,0,0,1,0,0,0
130,Osteria degli Angeli,Lecce,0,0,1,0,0,0,0,0,0,0,0
132,Da Angelo,Mola di Bari,0,0,1,0,0,0,0,0,0,0,0
133,Le Terrazze,Cisternino,0,1,1,0,0,0,0,0,0,0,0
134,Locanda Ti Li Spilusi,Brindisi,0,0,1,0,0,0,0,0,0,0,0
135,la Braceria,Locorotondo,0,0,1,0,0,0,0,0,0,0,0
136,La Duchesca,Otranto,0,0,1,0,0,0,0,0,0,0,0
137,La Botte,Otranto,0,0,1,0,0,0,0,0,0,0,0
138,Il Ghiottone,Otranto,0,0,1,0,0,0,0,0,0,0,0
139,Regina Margherita,Maglie,0,0,1,0,0,0,0,0,0,0,0
140,La’nchianata,Torricella,0,1,0,0,0,0,0,0,0,0,0
144,Alberosole,Bari,0,0,1,0,0,0,0,0,0,0,0
145,La Fontanina,Castellana Grotte,0,0,1,0,0,0,0,0,0,0,0
146,La Creperia Cinereo Lembo,Giovinazzo,0,0,1,0,0,0,0,1,0,0,0
147,Tozzi,Soleto,0,0,1,0,0,0,0,0,0,0,0
148,La Casereccia (Da Zonzi),Soleto,0,0,1,0,0,0,0,0,0,0,0
149,Stone's Cafe',Carovigno,0,1,0,0,0,0,0,0,0,0,0
150,Caffé delle Agavi,Andrano,0,1,0,0,0,0,0,0,0,0,0
152,Braceria Vecchie Storie,Monopoli,0,0,1,0,0,0,0,0,0,0,0
153,Al Vecchio Forno,Barletta,0,0,1,0,0,0,0,0,0,0,0
154,San Giorgio 27,Barletta,0,0,1,0,0,0,0,0,0,0,0
155,La Stradina,Barletta,0,0,1,0,0,0,0,0,0,0,0
156,Il Duca,Giovinazzo,0,1,1,0,0,0,0,1,0,0,0
157,La Cuccagna,Crispiano,0,0,1,0,0,0,0,0,0,0,0
158,Villa Excelsa,Sannicola,0,0,1,0,0,0,0,0,0,0,0
159,Vecchia Cantina,Sannicola,0,0,1,0,0,0,0,0,0,0,0
160,Rossini,Nardò,0,0,1,0,0,0,0,0,0,0,0
161,L'Osteria di Chichibio,Polignano a Mare,0,0,1,0,0,0,0,1,0,0,0
162,Donna Gina,Polignano a Mare,0,0,1,0,0,0,0,1,0,0,0
163,La Taverna del Duca,Locorotondo,0,0,1,0,0,0,0,1,0,0,0
166,Fidelio,Alberobello,0,0,1,0,0,0,0,0,0,0,0
167,Il Pinnacolo,Alberobello,0,0,1,0,0,0,0,1,0,0,0
168,Palio Café,Taranto,0,1,0,0,0,0,0,1,0,0,0
169,Gli Ulivi,Alberobello,0,0,1,0,0,0,0,0,0,0,0
171,The Church,Brindisi,0,1,0,0,0,0,0,0,0,0,0
173,Al Pescatore,Lecce,0,0,1,0,0,0,0,0,0,0,0
174,Puerto Escondido,Tricase,0,1,1,0,0,0,0,0,0,0,0
175,Gotà - Gusto e Musica,Conversano,0,0,1,0,0,0,0,0,0,0,0
176,Luxor,Salve,0,0,1,0,0,0,0,1,0,0,0
177,Gipas 111,Ostuni,0,1,0,0,0,0,0,1,0,0,0
178,Barsento,Noci,0,0,1,0,0,0,0,0,0,0,0
179,La Greppia del Frate,Locorotondo,0,0,1,0,0,0,0,1,0,0,0
180,Otium,Monopoli,0,0,0,0,0,0,0,0,0,0,1
181,Ezekiel,Lecce,0,1,0,0,0,0,0,0,0,0,0
182,Allonsanfan,Lecce,0,1,0,0,0,0,0,0,0,0,0
183,Bari-Napoli,Bari,0,0,1,0,0,0,0,0,0,0,0
184,Shuibar,Lecce,0,1,0,0,0,0,0,0,0,0,0
185,El Paso,Martina Franca,0,1,0,0,0,0,0,0,0,0,0
186,La Pignatella,Taurisano,0,0,1,0,0,0,0,0,0,0,0
187,Royal Oak,Ceglie Messapica,0,1,0,0,0,0,0,0,0,0,0
188,Cibus,Ceglie Messapica,0,0,1,0,0,0,0,0,0,0,0
189,Privilege,Castellana Grotte,0,1,0,0,0,0,0,0,0,0,0
190,Sho Ann,Ostuni,0,0,1,0,0,0,0,1,0,0,0
192,Al Solito Posto,Grottaglie,0,0,1,0,0,0,0,0,0,0,0
193,Il Forno,Grottaglie,0,0,1,0,0,0,0,0,0,0,0
194,Penny,Brindisi,0,0,1,0,0,0,0,0,0,0,0
195,Antica Locanda,Noci,0,0,1,0,0,0,0,1,0,0,0
